"idquiz";"lesson_id";"question";"answer_a";"answer_b";"answer_c";"correct_answer"
1;1000;"What is the difference between XML and HTML?";"A. HTML is used for exchanging data, XML is not.";"B. XML is used for exchanging data, HTML is not";"C. HTML can have user defined tags, XML cannot";"B"
2;1000;"Opening Tag of HTML Tag is called as ________.";"A. Closed Tag";"B. Starting Tag";"C. Forward Tag";"A"
3;1000;"HTML stands for ________.";"A. Hyper Text Markup Language";"B. Hyper Text Makeup Language";"C. None of these ";"A"
4;1000;"HTML program is saved using _________ extension.";"A. .htl";"B. .html";"C. .hml";"B"
5;1000;"Who was the primary author of HTML?";"A. Brendan Eich";"B. Sabeer Bhatiya";"C. Tim Berners-Lee";"C"
6;1000;"Which of the following is valid colour code ?";"A. #000000;";"B. #0000000;";"C. #00000000;";"A"
7;1000;"Caption Tag in HTML ?";"A. Is used to display the Title for table at the top";"B. Is used to display the Title for table at the bottom";"C. Both";"C"
8;1000;"Which of the following is used increase the row height?";"A. Cellspacing";"B. Cellpadding";"C. Row span";"C"
9;1000;"DOM stands for ";"A. Document object model";"B. Data object model";"C. Document Oriented model";"C"
10;1000;"The href attribute in the link tag specifies the:";"A. Destination of a link";"B. Link";"C. Hypertext";"A"
21;1028;"What does the a stand for in RGBa?";"A. alpha";"B. aqua";"C. Apple";"A"
22;1028;"How do four values work on border-radius";"A. top, bottom, left, right";"B. up, down, front, behind ";"C. top-left, top-right, bottom-right, bottom-left";"C"
23;1028;"How can you created rounded corners using CSS3?";"A. border[round]: 30px;";"B. corner-effect: round;";"C. border-radius: 30px;";"C"
24;1028;"How do you add shadow to elements in CSS3?";"A. box-shadow: 10px 10px 5px grey";"B. shadow-right: 10px shadow-bottom: 10px; shadow-color: grey;";"C. shadow-color: grey;";"A"
25;1028;"How to you modify a border image using CSS3?";"A. border: url(image.png);";"B. border-variable: image url(image.png);";"C. border-image: url(border.png) 30 30 round;";"C"
26;1028;"How to resize a background image using CSS3?";"A. background-size: 80px 60px;";"B. bg-dimensions: 80px 60px;";"C. background-proportion: 80px 60px;";"A"
27;1028;"How to force a word wrap using CSS3? ";"A. word-wrap: break-word;";"B. text-wrap: break-word;";"C. text-wrap: force;";"A"
28;1028;"Which of these are valid CSS3 transformation statements (select only one):";"A. matrix()";"B. modify()";"C. skip()";"A"
29;1028;"How to rotate objects using CSS3?";"A. object-rotation: 30deg;";"B. transform: rotate(30deg);";"C. rotate-object: 30deg;";"B"
30;1028;"The ____________ property specifies the stack order of an element";"A. d-index";"B. s-index";"C. z-index";"C"
31;1028;"The _____________ selector is used to specify a style for a single, unique element";"A. id";"B. class";"C. text";"A"
